INFO 2025-12-06 20:27:57 db_utils.py:102 [1m[34mLogs will be synced with wandb.[0m
INFO 2025-12-06 20:27:57 db_utils.py:103 Track this run --> [1m[33mhttps://wandb.ai/mohamedkarimziadi-hugging-face/lerobot/runs/ff813l3r[0m
INFO 2025-12-06 20:27:57 ot_train.py:183 Creating dataset
INFO 2025-12-06 20:27:57 ot_train.py:202 Creating policy
INFO 2025-12-06 20:27:58 ot_train.py:247 Creating optimizer and scheduler
INFO 2025-12-06 20:27:58 ot_train.py:259 [1m[33mOutput dir:[0m outputs/train/act_mobile_arm_suction_01
INFO 2025-12-06 20:27:58 ot_train.py:262 cfg.steps=100000 (100K)
INFO 2025-12-06 20:27:58 ot_train.py:263 dataset.num_frames=18581 (19K)
INFO 2025-12-06 20:27:58 ot_train.py:264 dataset.num_episodes=35
INFO 2025-12-06 20:27:58 ot_train.py:267 Effective batch size: 8 x 1 = 8
INFO 2025-12-06 20:27:58 ot_train.py:268 num_learnable_params=51603337 (52M)
INFO 2025-12-06 20:27:58 ot_train.py:269 num_total_params=51603337 (52M)
INFO 2025-12-06 20:27:58 ot_train.py:324 Start offline training on a fixed dataset
INFO 2025-12-06 20:34:56 ot_train.py:351 step:6K smpl:48K ep:90 epch:2.58 loss:0.249 grdn:19.662 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:35:08 ot_train.py:351 step:6K smpl:50K ep:93 epch:2.67 loss:0.241 grdn:19.228 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:35:21 ot_train.py:351 step:6K smpl:51K ep:96 epch:2.76 loss:0.230 grdn:18.740 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:35:34 ot_train.py:351 step:7K smpl:53K ep:99 epch:2.84 loss:0.224 grdn:18.884 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:35:47 ot_train.py:351 step:7K smpl:54K ep:102 epch:2.93 loss:0.217 grdn:18.024 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:36:02 ot_train.py:351 step:7K smpl:56K ep:105 epch:3.01 loss:0.211 grdn:17.369 lr:1.0e-05 updt_s:0.061 data_s:0.014
INFO 2025-12-06 20:36:15 ot_train.py:351 step:7K smpl:58K ep:108 epch:3.10 loss:0.201 grdn:16.873 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:36:28 ot_train.py:351 step:7K smpl:59K ep:112 epch:3.19 loss:0.196 grdn:16.404 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:36:40 ot_train.py:351 step:8K smpl:61K ep:115 epch:3.27 loss:0.189 grdn:16.041 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:36:53 ot_train.py:351 step:8K smpl:62K ep:118 epch:3.36 loss:0.184 grdn:16.021 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:37:06 ot_train.py:351 step:8K smpl:64K ep:121 epch:3.44 loss:0.184 grdn:15.750 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:37:19 ot_train.py:351 step:8K smpl:66K ep:124 epch:3.53 loss:0.179 grdn:15.307 lr:1.0e-05 updt_s:0.062 data_s:0.002
INFO 2025-12-06 20:37:31 ot_train.py:351 step:8K smpl:67K ep:127 epch:3.62 loss:0.174 grdn:15.040 lr:1.0e-05 updt_s:0.061 data_s:0.002
INFO 2025-12-06 20:37:44 ot_train.py:351 step:9K smpl:69K ep:130 epch:3.70 loss:0.169 grdn:14.516 lr:1.0e-05 updt_s:0.061 data_s:0.002
